Seed set to 42
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
 Trace:0.1750555783510208, lambda: 0.0
